City,Humidity (%),Latitude,Max Temperature (F),Cloudiness (%),Wind Speed (mph)
cape town,93,-33.93,46.0,0,2.24
yulara,29,-25.24,64.4,0,9.17
mitu,46,36.2,68.27,0,4.0
east london,70,-33.02,46.4,0,8.05
dikson,100,73.51,40.55,100,6.31
fortuna,87,40.6,63.0,90,5.82
traralgon,62,-38.19,57.0,54,7.0
hilo,58,19.71,82.4,1,9.17
coro,79,11.41,78.53,0,25.12
miles city,28,46.41,73.4,1,3.36
petropavlovsk-kamchatskiy,64,53.05,71.6,40,13.42
vila franca do campo,88,37.72,69.8,20,9.17
ushuaia,69,-54.81,33.8,0,5.82
guerrero negro,84,27.97,65.93,65,18.86
jamestown,63,-33.21,55.13,0,12.08
cayenne,94,4.94,75.2,34,3.56
hermanus,79,-34.42,46.0,89,5.01
kodiak,78,39.95,88.0,90,11.41
coolum beach,63,-26.53,70.0,0,1.01
itarema,88,-2.92,72.23,76,7.0
saskylakh,39,71.97,62.51,8,8.41
yellowknife,43,62.45,69.8,20,6.93
bridgetown,80,-33.96,61.0,100,10.0
saint-philippe,74,45.36,81.0,1,11.41
rikitea,51,-23.12,67.55,0,7.81
alta floresta,53,-9.87,73.49,21,3.53
naze,95,5.43,72.77,100,1.07
thunder bay,72,48.41,64.0,20,6.93
bethel,67,60.79,60.8,90,13.87
kutum,82,14.2,67.91,100,8.14
busselton,46,-33.64,64.99,100,27.69
tuktoyaktuk,76,69.44,57.2,75,41.38
chokurdakh,74,70.62,38.39,100,14.14
turukhansk,41,65.8,71.69,0,6.33
chaihe,73,44.77,76.19,98,11.1
kapaa,74,22.08,86.0,90,16.11
hobart,41,-42.88,59.0,20,27.51
koslan,86,63.46,54.59,63,6.2
biak,86,-0.91,68.45,82,6.06
clyde river,93,70.47,39.2,90,11.41
torbay,93,47.66,48.99,90,6.93
mataura,96,-46.19,51.01,58,3.0
butaritari,67,3.07,83.93,57,5.91
redlands,39,34.06,78.8,1,8.79
lebu,87,8.96,55.4,40,9.17
ayan,55,38.23,61.61,0,5.35
pisco,77,-13.71,62.6,90,6.93
nikolskoye,87,59.7,61.0,0,6.71
atuona,75,-9.8,79.97,0,10.22
san quintin,71,17.54,85.37,100,6.29
port moresby,74,-9.47,80.6,40,17.22
rimouski,88,48.45,62.6,75,9.17
nueva italia,88,-31.39,64.99,0,9.17
tarpon springs,83,28.15,79.0,1,4.7
ust-kuyga,43,70.0,56.39,16,21.5
san cristobal,94,14.68,66.83,82,3.83
port alfred,82,-33.59,45.0,93,7.0
bemidji,82,47.48,64.99,1,5.82
namatanai,74,-3.66,82.13,96,9.31
avarua,68,-21.21,71.6,93,10.29
arraial do cabo,81,-22.97,67.91,11,23.91
fairbanks,49,64.84,68.0,40,17.22
manggar,70,-2.88,84.47,8,8.63
coihaique,92,-45.58,30.2,0,4.7
san juan,14,-31.54,50.99,70,9.48
la ronge,63,55.1,60.8,5,2.24
port elizabeth,94,39.31,87.8,1,1.92
ipixuna,88,-1.76,75.2,75,10.29
punta arenas,91,-53.16,33.8,0,13.87
vao,78,59.1,57.29,0,4.9
kunming,88,25.04,77.0,90,13.42
hambantota,74,6.12,86.0,90,12.75
souillac,93,45.6,66.0,0,3.36
haapiti,65,-17.57,78.8,20,3.36
imeni zhelyabova,94,58.95,56.03,90,5.1
okhotsk,36,59.36,68.63,0,12.66
ambilobe,73,-13.19,73.31,100,2.48
bluff,58,-23.58,69.89,64,11.03
leh,31,34.16,45.23,24,2.75
baker city,30,44.77,71.6,1,8.05
wagga wagga,58,-35.12,60.01,65,9.17
tawang,84,27.59,66.11,96,2.8
chuy,85,-33.69,61.79,27,11.83
nyzhni sirohozy,51,46.85,69.71,21,2.37
rapar,65,23.57,85.37,100,4.36
priekule,82,56.45,60.8,41,7.38
vangaindrano,65,-23.35,55.85,0,3.96
arlit,42,18.74,89.33,88,8.14
kurmanayevka,74,52.51,66.11,0,7.0
